iter	Logloss
0	0.6681998224
1	0.6423717805
2	0.6194450517
3	0.5977659265
4	0.5744794846
5	0.5546211928
6	0.5334639271
7	0.5150648933
8	0.4989972463
9	0.4807837517
10	0.4638907562
11	0.447169985
12	0.4326879407
13	0.4178242483
14	0.4035998452
15	0.3887479536
16	0.3748070477
17	0.3618251746
18	0.3487383457
19	0.3362526641
20	0.3254432946
21	0.3142249114
22	0.3029274051
23	0.2919264957
24	0.2819330235
25	0.2721127324
26	0.2632423777
27	0.2538298598
28	0.2460315172
29	0.2373398881
30	0.2282575882
31	0.22029867
32	0.2133016139
33	0.2060921475
34	0.198531154
35	0.1920404048
36	0.1857784157
37	0.1808720585
38	0.175320919
39	0.1700669938
40	0.1648130465
41	0.1591976723
42	0.1541757216
43	0.149402403
44	0.1448864002
45	0.1405721919
46	0.1364716286
47	0.1326640823
48	0.129239527
49	0.1255940325
50	0.1224192299
51	0.1190691218
52	0.115918676
53	0.1123666851
54	0.1095307672
55	0.106620286
56	0.1042147168
57	0.1015795285
58	0.09905143152
59	0.09643408984
60	0.09396894387
61	0.09194857463
62	0.08955679403
63	0.08742283607
64	0.08533400984
65	0.08316291302
66	0.08092394908
67	0.07878410943
68	0.07725011943
69	0.07568201453
70	0.07385867957
71	0.07215131726
72	0.0704576806
73	0.06855592233
74	0.06718377862
75	0.0656117826
76	0.06432708575
77	0.06279697802
78	0.06149706263
79	0.0600175777
80	0.05877405645
81	0.05764788703
82	0.05641182983
83	0.05539381215
84	0.05445922317
85	0.0534537568
86	0.05240544794
87	0.05143903782
88	0.05043130348
89	0.04956013484
90	0.04876107538
91	0.04788374627
92	0.04701177487
93	0.04609178795
94	0.04512356278
95	0.04424591661
96	0.04340544407
97	0.04255077614
98	0.04171202271
99	0.04081814806
100	0.03998798225
101	0.03931136682
102	0.03879008516
103	0.03810007207
104	0.03749879761
105	0.03675165485
106	0.03608165046
107	0.03555860886
108	0.03495319426
109	0.03437251665
110	0.03379551402
111	0.03315954631
112	0.03256720074
113	0.03205091597
114	0.0315416924
115	0.03096685731
116	0.03047624623
117	0.02989319526
118	0.02931046914
119	0.02870708659
120	0.02823537236
121	0.02779429457
122	0.02744584824
123	0.0270654607
124	0.02663587993
125	0.02616994456
126	0.0257700111
127	0.02539706678
128	0.02498543311
129	0.02460874017
130	0.02427026241
131	0.02392481165
132	0.02361110365
133	0.02322517811
134	0.02284252166
135	0.02250139272
136	0.02216585534
137	0.02179833624
138	0.02157633667
139	0.0212571719
140	0.02100578684
141	0.02076076665
142	0.02046900911
143	0.02014657309
144	0.01985405077
145	0.01959184095
